"X (Hz)","Ch-1 (dBr)"
100,-0.000194056467434267
104.761575278966,-0.00551717348604495
109.749876549306,-0.00180053828576994
114.975699539774,-0.0072568245889917
120.450354025878,-0.00704710284543515
126.185688306602,-0.00604434844290806
132.194114846603,-0.004540433863873
138.488637139387,-0.00479217559574647
145.082877849594,-0.00866962447824146
151.991108295293,-0.00467184066116085
159.228279334109,-0.00565450169547867
166.810053720006,-0.00862900234965241
174.752840000768,-0.0068108027226168
183.073828029537,-0.00869399784658627
191.791026167249,-0.00949392543627981
200.923300256505,-0.00847094714789151
210.490414451202,-0.00758618656183746
220.513073990304,-0.00908915139130809
231.012970008316,-0.0112328956762362
242.012826479438,-0.0103958712144923
253.536449397011,-0.0116229928834553
265.608778294668,-0.0113104704298039
278.255940220712,-0.0112860897183128
291.505306282517,-0.013813182037329
305.385550883341,-0.0123655558682407
319.926713779738,-0.0157888162082534
335.160265093884,-0.0145965821517354
351.119173421513,-0.0172000474130948
367.837977182863,-0.0185841490117641
385.352859371053,-0.0196748758942611
403.701725859655,-0.0228886947094526
422.92428743895,-0.0235101455480354
443.062145758388,-0.0243062594407593
464.158883361278,-0.0270295798092918
486.260158006535,-0.0291022435376411
509.413801481637,-0.0313871881529279
533.66992312063,-0.0349372266101591
559.081018251222,-0.0372703911710771
585.702081805666,-0.0395389554191434
613.590727341317,-0.0429136236770438
642.807311728431,-0.0460759701828523
673.415065775081,-0.0507993844190962
705.480231071863,-0.0554837842282458
739.072203352577,-0.0589322554274583
774.263682681126,-0.0660370190506318
811.130830789686,-0.0714326429883937
849.753435908643,-0.0774435429519153
890.215085445037,-0.0842870548499641
932.603346883219,-0.09163107643341
977.009957299224,-0.102803983765995
1023.53102189902,-0.110107640140618
1072.26722201032,-0.120396804435507
1123.32403297803,-0.130805284308642
1176.811952435,-0.145291149385163
1232.84673944206,-0.158710032271256
1291.54966501488,-0.172286655834461
1353.0477745798,-0.187295026342859
1417.4741629268,-0.204689815050017
1484.96826225446,-0.224202158666947
1555.67614393047,-0.244001269450673
1629.75083462064,-0.266990529459712
1707.35264747069,-0.291443127167919
1788.64952905743,-0.319221225832632
1873.81742286038,-0.348357159862137
1963.04065004027,-0.379685987016558
2056.51230834865,-0.415055197297254
2154.43469003188,-0.451303443947643
2257.01971963392,-0.493820683641238
2364.4894126454,-0.538608368116295
2477.07635599171,-0.588724314490704
2595.02421139973,-0.641872279382155
2718.58824273294,-0.699831344204779
2848.0358684358,-0.763364856426439
2983.64724028333,-0.832787182155164
3125.71584968823,-0.908901166225706
3274.54916287772,-0.991243179295572
3430.46928631491,-1.09980446584478
3593.81366380462,-1.1770506047284
3764.93580679246,-1.28382556412109
3944.20605943765,-1.3986555283184
4132.01240011533,-1.52496229506483
4328.76128108305,-1.6592837368399
4534.87850812857,-1.80278673037757
4750.81016210279,-1.95948448562926
4977.0235643321,-2.128367488955
5214.00828799967,-2.3104132994745
5462.27721768433,-2.50562122564084
5722.3676593502,-2.71440345596977
5994.8425031894,-2.93714872227625
6280.29144183424,-3.17467855348471
6579.33224657566,-3.43820750917734
6892.61210434968,-3.70567975403299
7220.80901838545,-3.99902716132397
7564.63327554627,-4.30788102253153
7924.82898353915,-4.63622542878645
8302.17568131972,-4.97801500411652
8697.49002617781,-5.33744000876759
9111.62756115487,-5.71235123764705
9545.48456661832,-6.11127508808195
9999.99999999997,-6.52341549947238
