"X (Hz)","Ch-1 (dBr)"
100,-0.0150976996550222
104.761575278966,-0.012091428210307
109.749876549306,-0.00616101053016689
114.975699539774,-0.00595574537294336
120.450354025878,-0.00703897992201955
126.185688306602,-0.00936392295681788
132.194114846603,-0.0058125056548512
138.488637139387,-0.00684477046964218
145.082877849594,-0.00894068972699441
151.991108295293,-0.0105650426469055
159.228279334109,-0.00731442510915402
166.810053720006,-0.00808025293943139
174.752840000768,-0.00990388917950868
183.073828029537,-0.00945551541028646
191.791026167249,-0.00849014996284151
200.923300256505,-0.008434018776925
210.490414451202,-0.0108051387641872
220.513073990304,-0.00911721905584919
231.012970008316,-0.011679883523329
242.012826479438,-0.0105997638287635
253.536449397011,-0.0098211561990248
265.608778294668,-0.00872945014081474
278.255940220712,-0.0116281647444094
291.505306282517,-0.0112676195278947
305.385550883341,-0.0112528434038385
319.926713779738,-0.0133956438611795
335.160265093884,-0.0136942000874172
351.119173421513,-0.0138006186488845
367.837977182863,-0.016250823180558
385.352859371053,-0.0161192410920601
403.701725859655,-0.0174654643346974
422.92428743895,-0.0184177789845248
443.062145758388,-0.0202080878272943
464.158883361278,-0.0234095266812991
486.260158006535,-0.0250587873309202
509.413801481637,-0.0271191382677676
533.66992312063,-0.0305178610008002
559.081018251222,-0.0331949859564962
585.702081805666,-0.0371725768315416
613.590727341317,-0.0444152980574484
642.807311728431,-0.045234839750724
673.415065775081,-0.0504594740048042
705.480231071863,-0.056679416082587
739.072203352577,-0.0613885383515014
774.263682681126,-0.0672861555029453
811.130830789686,-0.0735367661680311
849.753435908643,-0.0809342593532146
890.215085445037,-0.0882128332504131
932.603346883219,-0.0956004609955276
977.009957299224,-0.103694017006279
1023.53102189902,-0.111908728305405
1072.26722201032,-0.121500392440283
1123.32403297803,-0.13091988891705
1176.811952435,-0.141696479457801
1232.84673944206,-0.154589278810568
1291.54966501488,-0.168928314925058
1353.0477745798,-0.184952121182571
1417.4741629268,-0.203704017172719
1484.96826225446,-0.223625992328339
1555.67614393047,-0.245893339296148
1629.75083462064,-0.270064273802277
1707.35264747069,-0.295233907370306
1788.64952905743,-0.320328932592915
1873.81742286038,-0.345813006952371
1963.04065004027,-0.373952993856859
2056.51230834865,-0.41538645984052
2154.43469003188,-0.473767117110598
2257.01971963392,-0.56532702793909
2364.4894126454,-0.719943755784412
2477.07635599171,-0.976585411574932
2595.02421139973,-1.4024206953993
2718.58824273294,-2.01179599822705
2848.0358684358,-2.91892874701193
2983.64724028333,-4.18110259839124
3125.71584968823,-5.87639860430554
3274.54916287772,-8.11836953709986
3430.46928631491,-10.8687242732397
3593.81366380462,-14.0217985661204
3764.93580679246,-17.2887749598552
3944.20605943765,-19.8748316133095
4132.01240011533,-21.2386085682425
4328.76128108305,-21.6812810829475
4534.87850812857,-21.848855709681
4750.81016210279,-22.0067125378566
4977.0235643321,-22.1695081494048
5214.00828799967,-22.3477704681734
5462.27721768433,-22.5532083279561
5722.3676593502,-22.7546756475259
5994.8425031894,-22.9794374989923
6280.29144183424,-23.1234330726794
6579.33224657566,-21.6181615568318
6892.61210434968,-16.731260088209
7220.80901838545,-11.2946789042605
7564.63327554627,-7.54358013374935
7924.82898353915,-5.64441049423985
8302.17568131972,-5.14998569361871
8697.49002617781,-5.34255066987587
9111.62756115487,-5.70840625942917
9545.48456661832,-6.2579325141011
9999.99999999997,-6.5182023065341
